グループID,グループ名_採用
0,#PANnana
1,#PANnana-パンダの指は実は7本ある-
2,243と吉崎綾
3,AMO million
4,AOAO
5,AQA
6,AZATOY
7,AdamLilith
8,Aivery
9,Aproof
10,BAKUMON
11,BNSI
12,Blueberry Girls
13,Bunny La Crew
14,CAL&RES
15,CIDER GEM
16,CURE'T
17,FES☆TIVE
18,FULIT BOX
19,GigiL
20,HIBANA
21,HIGH SPIRITS
22,Honey Devil
23,I MY ME MINE
24,INFIY∞
25,I’mew（あいみゅう）
26,JamsCollection
27,KAMAITACI
28,KissBee
29,LADYBABY
30,LIT MOON
31,Lilite tune
32,LilyS/ash
33,Lollipop♡CHU
34,Lovlis
35,Lv.♡Charm
36,MATE×MATE!
37,MEGAFON
38,MORE*
39,"Mirror,Mirror"
40,MyDearDarlin'
41,My_Stage
42,NEO JAPONISM
43,Onephony
44,P.S.G.
45,Palette Parade
46,ParaLulu
47,Pastel Closet
48,Re:♡
49,SAI ²Rium
50,SPRISE
51,Sweet Alley
52,TENRIN
53,THE ENCORE
54,UtaGe!
55,ZUTTOMOTTO
56,ai*ai
57,buGG
58,feelNEO
59,iLiFE!
60,iON!
61,melnoir
62,myojou
63,vVibe!
64,『TryVII』
65,このアイドルはフィクションです。
66,じゅじゅ
67,すてねこキャッツ
68,なんキニ!
69,みありー
70,アキシブproject
71,アンスリューム
72,オカシリゾート
73,ギガLOVEアップビート
74,ギミック
75,クララ・マグラ
76,コングラッチェ！
77,シャニムニ＝パレード
78,シンダーエラ
79,セクト
80,テンシンランマン
81,ドラマチックレコード
82,ドレスコード
83,ナナコロビヤオキ
84,ネコプラpixx.
85,ハルカエコー
86,パラディーク
87,パラレルサイダー
88,ファーストプレイリスト
89,フィルフェリーチェ
90,フルコース
91,ポラリスマイル
92,ポンコツコンポ
93,マーキュロ
94,ラストシーン
95,ラナキュラ
96,ラビットビット
97,ラフ×ラフ
98,ワガママなラストノート
99,ワッツ◎さーくる
100,君と見るそら
101,君に、胸キュン。
102,夜光性アミューズ
103,大スッキ♡新党！
104,妄想遊戯
105,山﨑夢羽
106,最終未来少女
107,月とソーダ
108,煌めき☆アンフォレント
109,玉響storage
110,白地図プロローグ
111,空想ロマンス
112,笑う門には福来たる
113,美味しい曖昧
114,美味しい水玉
115,衛星とカラテア
116,限りなく白く
117,高嶺のなでしこ
