グループID,グループ名_採用
0,7限目のフルール
1,@JAMアカデミー生徒選抜
2,@onefive
3,AISTEAL
4,ARCANA PROJECT
5,AZの理由
6,As a Cutie Pomeranian
7,BLUEGOATS
8,BNSI
9,BOCCHI。
10,Baby’z Breath
11,Brave Mental Orchestra
12,B≡FULLEST
13,COLOR of COLOR
14,CUBΣLIC
15,CURE'T
16,CYNHN
17,Caress Van End
18,ChumToto
19,Chuu♡Cute
20,Dolly Kiss
21,Drawry.
22,ESTLINK☆
23,GARNET STAR
24,GREAT MONKEYS
25,Gran☆Ciel
26,HIGH SPIRITS
27,HOTALOOP
28,Hey!Mommy!
29,Honey Parasol
30,I MY ME MINE
31,INSPIRE
32,I’mew（あいみゅう）
33,JamsCollection
34,KAWAII LAB. MATES
35,KRD8
36,KissBee
37,LINKL PLANET
38,LIT MOON
39,LOVE 9 LOVE
40,LilyS/ash
41,MARUKADO
42,MISS MERCY
43,MORE STAR
44,MORE STAR + KAWAII LAB. MATES
45,Ma’Scar’Piece
46,Melodys High
47,"Mirror,Mirror"
48,NEFRALISE
49,Nine chocolates
50,PANDACLUB
51,ParaLulu
52,Peel the Apple
53,ROOKEY♡ROOKEYS
54,ReFLiA
55,Red Radiance
56,Root mimi
57,SAISON
58,SAKURADOLL
59,SAY-LA
60,STAiNY
61,SWANTICK
62,Sweet Alley
63,THE ENCORE
64,THE ORCHESTRA TOKYO
65,Toi Toi Toi
66,UNBS
67,VVSiS
68,WHITE SCORPION
69,fav me
70,feelNEO
71,fishbowl
72,himawari(船橋)
73,kimikara（きみから）
74,log you
75,mementoa
76,metarium
77,selfish
78,unSea
79,wqwq
80,【eN】
81,あの日見たラッキースター
82,あまいものつめあわせ
83,いにしえ永遠？
84,えくすくらめーしょん！
85,おちゃメンタル☆パーティー
86,お願い‼︎フルハウス
87,きゅ～くる
88,このアイドルはフィクションです。
89,さくまる。
90,さよならステイチューン
91,すてねこキャッツ
92,すべての瞬間は君だった。
93,てんしめし！
94,なみだ色の消しごむ
95,はいどーも！テラスマです！
96,べるべっとセンテンス
97,むーぷり
98,らびゅあたっく。
99,れんてつ
100,ろりぽっぷ!!!!!!!
101,アイドルカレッジ
102,アキシブproject
103,アップアップガールズ（プロレス）
104,アップアップガールズ（仮）
105,アップアップガールズ（２）
106,イイトコドリ
107,ウイバナ Webana.
108,エンディング
109,グデイ
110,コングラッチェ！
111,シオリベル
112,シュピネス
113,シュレーディンガーの犬
114,シンダーエラ
115,シンデレラ宣言！
116,テラテラ
117,トウトイナ。
118,ハニースパイスRe.
119,フィルフェリーチェ
120,プエラの絶対値
121,マイナーガール
122,ミスティア！
123,ミームトーキョー
124,メイビーME
125,ラフ×ラフ
126,レッスントゥミー
127,ロージークロニクル
128,上月せれな
129,世ノ果テデ人形ハ唯哂フ。
130,二丁目の魁カミングアウト
131,君と見るそら
132,君のメインヒロイン
133,夢みるアドレセンス
134,天使突抜ニ読ミ
135,強くてにゅーげーむ
136,思い出とプレゼント
137,愛乙女☆DOLL
138,手羽先センセーション
139,星合いのライラック
140,月刊PAM
141,神薙-時うさぎ-
142,純情のアフィリア
143,花魁道中
144,虹のコンキスタドール
145,蛍
146,遥か、彼方。
147,限りなく白く
148,雨のち、ハレーション
