グループID,グループ名_採用
0,2o Love to Sweet Bullet
1,BUNGEE GUM.
2,Charm Poche
3,CoTei
4,Falench.
5,GeMuse
6,HACK
7,HEROINE CIRCUS
8,JYA☆PON 2.0
9,LEVEL7
10,LOVE 9 LOVE
11,LOVEME
12,Lily wonder
13,Loulouchouchou
14,Malcolm Mask McLaren
15,Melty BeaR
16,Milky✳︎Sphene
17,MyDresscode
18,New Crown
19,PLATINUM Princess 研究生
20,Panic Monster !n Wonderland
21,RiNCENT♯
22,SAI ²Rium
23,ai*ai
24,metarium
25,miao
26,milu milu!
27,policy
28,かぷ♡ちゅーる
29,こみっきゅおん！
30,すーぱーぷーばぁー!!
31,なんキニ!
32,ひめもすオーケストラ
33,まぶだちゅ！
34,アイテムはてるてるのみ
35,カラフルスクリーム
36,シークレットシャノワール
37,ストロボグリッター
38,スプスラッシュ
39,テラス×テラス
40,テンシメシ໒꒱
41,ネコプラpixx.
42,ハレとハレ！
43,ハープスター
44,ビーバイユー
45,フューチャーサイダー
46,ブルーなままで
47,ベンジャス！
48,メイビーME
49,ルルネージュ
50,君とのシナリオ
51,思い出とプレゼント
52,泡沫パーティーズ
53,虹色の飛行少女
54,蛍
55,超常フォーチューン
56,雨のち、ハレーション
